question,correct_answer_text,generated_answer,correct_option,predicted_option,is_correct
"Q.1. The first ionization enthalpy of Na, Mg and Si, respectively, are : 496, 737 and 786 kJ mol −1 . The first ionization enthalpy (kJmol −1 ) of Al is : (a) 760 (b) 575 (c) 801 (d) 419",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.2. In which of the following pairs, electron gain enthalpies of constituent elements are nearly the same or identical? (A) Rb and Cs (B) Na and K (C) Ar and Kr (D) I and At Choose the correct answer from the options given below : (a) (A) and (B) only (b) (B) and (C) only (c) (A) and (C) only (d) (C) and (D) only",Correct Answer is Option (c),The correct option is (a),c,a,0
Q.3. The incorrect statement is (a) The first ionization enthalpy of K is less than that of Na and Li. (b) Xe does not have the lowest first ionization enthalpy in its group. (c) The first ionization enthalpy of element with atomic number 37 is lower than that of the element with atomic number 38. (d) The first ionization enthalpy of Ga is higher than that of the d-block element with atomic number 30.,Correct Answer is Option (d),The correct option is (a),c,a,0
Q.4. Given two statements below : Statement I : In Cl2 molecule the covalent radius is double of the atomic radius of chlorine. Statement II : Radius of anionic species is always greater than their parent atomic radius. Choose the most appropriate answer from options given below : (a) Both Statement I and Statement II are correct. (b) Both Statement I and Statement II are incorrect. (c) Statement I is correct but Statement II is incorrect. (d) Statement I is incorrect but Statement II is correct.,Correct Answer is Option (d),The correct option is (a),c,a,0
"Q.5. The first ionization enthalpies of Be, B, N and O follow the order (a) O < N < B < Be (b) Be < B < N < O (c) B < Be < N < O (d) B < Be < O < N",Correct Answer is Option (d),The correct option is (a),c,a,0
Q.6. The IUPAC nomenclature of an element with electronic configuration [Rn] 5f146d17s2 is : (a) Unnilbium (b) Unnilunium (c) Unnilquadium (d) Unniltrium,Correct Answer is Option (d),The correct option is (a),c,a,0
Q.7. The correct order of electron gain enthalpy (− ve value) is : (a) O > S > Se > Te (b) O < S < Se < Te (c) O < S > Se > Te (d) O < S > Se < Te,Correct Answer is Option (c),The correct option is (a),c,a,0
"Q.8. The correct order of electron gain enthalpies of Cl, F, Te and Po is (a) F < Cl < Te < Po (b) Po < Te < F < Cl (c) Te < Po < Cl < F (d) Cl < F < Te < Po",Correct Answer is Option (b),The correct option is (a),c,a,0
"Q.9. Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : The ionic radii of O 2− and Mg 2+ are same. Reason (R) : Both O 2− and Mg 2+ are isoelectronic species. In the light of the above statements, choose the correct answer from the options given below. (a) Both (A) and (R) are true and (R) is the correct explanation of (A). (b) Both (A) and (R) are true but (R) is not the correct explanation of (A). (c) (A) is true but (R) is false. (d) (A) is false but (R) is true.",Correct Answer is Option (a),The correct option is (a),c,a,0
Q.10. The correct order of increasing ionic radii is (a) Mg 2+ < Na+ < F− < O 2− < N 3− (b) N 3− < O 2− < F − < Na + < Mg 2+ (c) F − < Na + < O 2− < Mg 2+ < N 3− (d) Na + < F − < Mg 2+ < O 2− < N 3−,Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.11. Element ""E"" belongs to the period 4 and group 16 of the periodic table. The valence shell electron configuration of the element, which is just above ""E"" in the group is (a) 3s 2 , 3p 4 (b) 3d 10 , 4s 2 , 4p 4 (c) 4d 10, 5s 2 , 5p 4 (d) 2s 2 , 2p 4",Correct Answer is Option (a),The correct option is (a),c,a,0
"Q.12. Given below are two statements. One is labelled as Assertion A and the other is labelled as Reason R. Assertion A : The first ionization enthalpy for oxygen is lower than that of nitrogen. Reason R : The four electrons in 2p orbitals of oxygen experience more electron-electron repulsion. In the light of the above statements, choose the correct answer from the options given below. (a) Both A and R are are correct and R is the correct explanation of A. (b) Both A and R are are correct but R is NOT the correct explanation of A. (c) A is correct but R is not correct. (d) A is not correct but R is correct.",Correct Answer is Option (b),The correct option is (a),c,a,0
Q.13. The electronic configuration of Pt (atomic number 78) is: (a) [Xe] 4f 14 5d 9 6s 1 (b) [Kr] 4f 14 5d 10 (c) [Xe] 4f 14 5d 10 (d) [Xe] 4f 14 5d 8 6s 2,Correct Answer is Option (a),The correct option is (a),c,a,0
Q.14. Identify the element for which electronic configuration in +3 oxidation state is [Ar]3d 5 : (a) Ru (b) Mn (c) Co (d) Fe,Correct Answer is Option (d),The correct option is (a),c,a,0
